year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
2015,70000,1,0,0,0,16.02,1373.0,93.7,7.0
2013,145000,0,0,0,0,15.3,2956.0,83.83,7.0
2016,35000,0,1,1,0,15.0,2143.0,204.0,5.0
2013,90000,1,0,0,0,16.02,1373.0,93.7,7.0
2014,35000,1,0,0,1,16.7,1172.0,64.1,5.0
2018,80000,0,0,0,0,17.1,1956.0,170.0,5.0
2017,40000,1,0,0,0,23.95,998.0,67.05,5.0
2014,70000,0,0,0,1,25.2,1248.0,74.0,5.0
2014,60000,1,0,0,1,21.1,814.0,55.2,5.0
2010,70000,1,0,0,1,19.81,1086.0,68.05,5.0
2008,90000,1,0,0,0,19.81,1086.0,68.05,5.0
2018,53000,0,0,0,0,20.14,1498.0,88.0,5.0
2018,48000,0,0,0,0,25.4,1186.0,73.97,5.0
2014,120000,0,0,0,0,23.59,1364.0,67.04,5.0
2010,300000,0,0,0,2,13.6,2523.0,63.0,7.0
2016,50000,1,0,0,0,22.74,796.0,47.3,5.0
2008,193623,0,0,0,1,12.8,2494.0,102.0,8.0
2015,180000,0,0,0,0,25.2,1248.0,74.0,5.0
2016,60000,0,0,0,1,14.1,2179.0,148.0,7.0
2014,40000,1,0,0,0,21.1,814.0,55.2,5.0
2016,80000,0,0,0,0,26.59,1248.0,74.0,5.0
2005,50800,1,1,0,1,19.7,796.0,46.3,5.0
2013,120000,0,0,0,1,19.09,1405.0,69.01,5.0
2016,70000,1,0,1,0,16.34,1798.0,189.3,5.0
2017,30000,0,0,0,0,17.6,2179.0,153.86,7.0
2019,16000,1,0,1,0,17.4,1197.0,81.86,5.0
2020,40000,1,0,1,0,10.75,2694.0,163.7,8.0
2018,25000,0,0,1,0,24.3,1248.0,88.5,5.0
2016,49900,1,1,0,0,16.3,1797.0,147.5,5.0
2017,19000,0,0,1,0,28.4,1248.0,74.02,5.0
2017,40000,1,0,0,0,18.6,1197.0,81.83,5.0
2018,25000,1,0,0,0,23.84,1199.0,84.0,5.0
2012,90000,1,0,0,1,17.92,1086.0,62.1,5.0
2008,65000,1,0,0,3,19.7,796.0,46.3,5.0
2015,120000,0,0,0,1,21.04,1461.0,83.8,7.0
2015,26000,1,0,0,0,20.73,1373.0,91.1,5.0
2015,90000,0,0,0,0,20.45,1461.0,83.8,5.0
2018,35000,0,0,0,0,25.1,1248.0,88.5,5.0
2013,82500,0,0,0,0,20.3,1248.0,75.0,5.0
2014,110000,0,0,0,0,26.0,1498.0,98.6,5.0
2005,90000,1,0,1,1,19.7,796.0,46.3,5.0
2011,97000,0,1,0,0,25.2,1248.0,74.0,5.0
2018,30000,1,0,1,0,18.9,1197.0,81.86,5.0
2009,70000,1,0,0,3,19.7,796.0,46.3,5.0
2011,120000,0,0,0,1,20.0,1399.0,68.0,5.0
2018,50699,0,1,0,0,22.77,1498.0,98.59,5.0
2015,120000,1,0,0,0,20.51,998.0,67.04,5.0
2014,27233,0,1,0,0,27.4,1498.0,98.63,5.0
